Month,Day,LA - Permit Application Received,LA - Permits Issued,LA - Construction Complete,Carr - Permits issued,Carr - Construction Complete,Maui - Permits Issued,Maui - Construction Complete,Marshall - Permit issued,Marshall - Construction complete,Tubbs - Permit Applications,Tubbs - Construction Complete,Camp - Permitted,Camp - Occupied
1,30,0.167402222,0,0,0,0,0,0,0,0,0.019976029,0,0,0
2,60,0.867447877,0.076091919,0,0,0,0,0,0,0,0.119856173,0,0,0
3,90,2.465378177,0.076091919,0,0,0,0,0,0,0,0.459448662,0,0,0
4,120,5.752549079,0.228275757,0,1,0,0,0,1,0,1.058729525,0.019976029,0,0
5,150,9.724547253,0.486988282,0,2,0,0,0,2,0,2.636835797,0.019976029,0,0
6,180,14.25962563,1.050068483,0,3,0,0,0,4,0,5.213743508,0.039952058,0,0
7,210,20.28610562,2.161010501,0.015218384,4,0,0,0,5,1,9.668397922,0.039952058,0,0
8,240,25.61253995,4.169837163,0.015218384,6,0,0,0,8,3,16.42029565,0.079904115,1,0
9,270,30.0715264,7.106985238,0.015218384,9,0,0,0,12,3,21.63403915,0.179784259,1,0
10,300,34.6826967,10.6224319,0.015218384,11,1,1,0,18,6,25.82900519,0.199760288,2,0
11,330,38.38076396,13.72698219,0.060873535,13,1,2,0,25,7,29.46464243,0.31961646,2,0
12,360,42.52016436,16.86196926,0.106528687,15,2,2,0,30,10,33.26008789,0.799041151,3,0
13,390,45.27469183,21.19920864,0.152183838,17,3,3,0,35,12,36.4562525,1.29844187,4,0
14,420,47.96834576,25.59732156,0.213057373,18,4,5,0,39,14,38.59368757,2.177387135,5,0
15,450,50.35763202,31.74554862,0.44133313,19,5,7,0,44,15,40.37155414,2.996404315,5,1
16,480,,,,20,7,8,0,48,17,41.86975629,3.815421494,6,1
17,510,,,,21,8,11,0,51,19,43.1282461,4.734318817,7,1
18,540,,,,22,8,14,0,54,20,44.82620855,6.012784658,7,1
19,570,,,,23,10,,,58,22,46.14462645,7.391130643,8,2
20,600,,,,23,11,,,60,24,47.28326009,9.149021175,9,2
21,630,,,,24,12,,,61,26,48.4019177,11.6660008,9,3
22,660,,,,25,13,,,63,30,49.28086296,13.72353176,10,3
23,690,,,,26,14,,,63,33,49.88014383,15.40151818,10,4
24,720,,,,27,16,,,64,36,50.25968837,17.37914503,11,4
25,750,,,,27,17,,,66,38,50.87894527,19.41669996,11,5
26,780,,,,28,18,,,67,40,51.47822613,21.43427887,12,5
27,810,,,,29,19,,,68,42,52.31721934,22.65281662,12,6
28,840,,,,29,20,,,69,45,52.57690771,24.31082701,13,6
29,870,,,,30,21,,,69,47,52.6368358,26.40831003,13,7
30,900,,,,31,22,,,70,49,52.73671594,28.72552936,14,8
31,930,,,,31,23,,,71,52,52.87654814,30.10387535,14,8
32,960,,,,32,24,,,72,54,52.95645226,31.28246105,15,9
33,990,,,,32,24,,,73,56,53.1961646,32.640831,15,9
34,1020,,,,32,25,,,73,59,53.27606872,34.05912905,16,9
35,1050,,,,33,26,,,74,61,53.39592489,35.93687575,16,10
36,1080,,,,33,26,,,74,61,53.55573312,37.31522173,17,10
37,1110,,,,34,27,,,75,63,53.61566121,38.87335198,17,11
38,1140,,,,34,,,,,,53.73551738,39.95205753,,
39,1170,,,,34,,,,,,53.79544547,40.77107471,,
40,1200,,,,34,28,,,,,53.85537355,41.5301638,18,12
41,1230,,,,34,29,,,,,53.97522972,42.46903716,19,12
42,1260,,,,35,29,,,,,54.01518178,43.52776668,19,13
43,1290,,,,35,29,,,,,54.15501398,44.64642429,19,13
44,1320,,,,35,30,,,,,54.2349181,45.28565721,20,14
45,1350,,,,36,30,,,,,54.29484618,45.66520176,20,14
46,1380,,,,36,30,,,,,54.35477427,46.00479425,21,14
47,1410,,,,36,30,,,,,54.39472633,46.38433879,21,15
48,1440,,,,36,31,,,,,54.43467839,46.74390731,21,15
49,1470,,,,36,31,,,,,54.47463044,47.00359569,22,16
50,1500,,,,37,31,,,,,54.49460647,47.42309229,22,16
51,1530,,,,37,31,,,,,54.49460647,47.64282861,22,16
52,1560,,,,37,32,,,,,54.5145825,47.78266081,,
53,1590,,,,37,32,,,,,54.55453456,47.88254095,,
54,1620,,,,37,32,,,,,54.57451059,47.98242109,23,17
55,1650,,,,37,32,,,,,54.57451059,48.20215741,23,18
56,1680,,,,37,33,,,,,54.57451059,48.46184579,24,18
57,1710,,,,38,33,,,,,54.61446264,48.64163004,24,18
58,1740,,,,38,33,,,,,54.61446264,48.74151019,24,19
59,1770,,,,38,33,,,,,54.69436676,48.86136636,25,19
60,1800,,,,38,34,,,,,54.69436676,49.00119856,25,19
61,1830,,,,38,34,,,,,54.69436676,49.00119856,25,20
62,1860,,,,38,34,,,,,54.69436676,49.00119856,25,20
63,1890,,,,38,34,,,,,54.69436676,49.00119856,26,20
64,1920,,,,39,34,,,,,54.69436676,49.00119856,26,21
65,1950,,,,39,34,,,,,54.69436676,49.00119856,26,21
66,1980,,,,39,34,,,,,,,26,21
67,2010,,,,39,34,,,,,,,27,22
68,2040,,,,39,35,,,,,,,27,22
69,2070,,,,39,35,,,,,,,27,22
70,2100,,,,39,35,,,,,,,28,22
71,2130,,,,39,35,,,,,,,28,23
72,2160,,,,39,35,,,,,,,28,23
73,2190,,,,40,35,,,,,,,28,23
74,2220,,,,40,35,,,,,,,28,23
75,2250,,,,40,36,,,,,,,29,23
76,2280,,,,40,36,,,,,,,29,23
77,2310,,,,40,36,,,,,,,29,23
78,2340,,,,40,36,,,,,,,,
79,2370,,,,40,36,,,,,,,,
