LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
98426,383343,FALSE,143,104,315
60171,143771,FALSE,129,105,421
160829,352869,TRUE,83,109,351
91221,133348,FALSE,69,112,378
91940,294846,TRUE,135,112,448
127500,331500,TRUE,72,118,889
96498,144747,FALSE,39,123,392
85140,147196,TRUE,140,123,265
65164,161066,TRUE,55,125,334
87490,225289,FALSE,155,125,452
88702,263395,FALSE,89,125,329
69304,306147,TRUE,140,126,337
185658,309429,TRUE,83,126,384
48249,104226,TRUE,96,130,400
9225,129529,TRUE,83,132,552
61883,254343,TRUE,138,132,587
81223,181914,FALSE,77,137,358
78309,133782,TRUE,88,137,406
16622,42232,FALSE,44,139,712
51239,268623,FALSE,99,139,631
55774,181379,FALSE,30,140,351
69620,273122,TRUE,107,140,523
92958,254017,FALSE,109,144,-1
97072,101562,FALSE,105,145,452
34808,149564,TRUE,103,147,452
117941,280198,FALSE,88,147,379
78084,141725,TRUE,118,151,503
103895,408205,FALSE,98,152,529
42436,223217,TRUE,134,152,558
45200,433500,FALSE,82,160,452
40156,123678,TRUE,126,161,411
40251,259748,TRUE,71,161,673
49000,112845,TRUE,66,166,355
31713,489519,FALSE,98,166,487
112200,214200,FALSE,51,167,620
82022,233309,FALSE,89,168,406
126141,538611,TRUE,89,172,825
84093,433500,TRUE,23,172,-1
141647,210000,FALSE,88,173,620
75053,69692,TRUE,60,174,313
51170,56777,TRUE,93,174,390
69447,453862,TRUE,143,174,427
80856,190011,TRUE,62,175,658
289738,357926,TRUE,89,175,509
13571,65513,TRUE,60,179,659
83248,18174,TRUE,10,179,301
66929,282920,FALSE,127,180,552
63529,173294,FALSE,96,180,530
100475,314116,FALSE,105,180,560
61374,114983,TRUE,126,181,544
82022,154109,TRUE,119,182,532
91005,61728,TRUE,133,182,441
101858,265592,TRUE,123,182,433
86633,133199,TRUE,91,183,475
44013,111081,TRUE,140,183,700
91005,142186,TRUE,131,187,405
55514,22206,TRUE,98,188,441
164046,316063,TRUE,79,189,-1
38697,153527,TRUE,69,189,547
59175,255898,FALSE,143,189,440
57907,116780,TRUE,97,189,435
40609,69197,FALSE,88,189,432
72433,68899,FALSE,128,189,-1
103056,170043,FALSE,102,190,390
50684,282388,TRUE,85,190,595
79647,214961,TRUE,85,193,658
131396,230828,TRUE,17,193,302
19621,176223,TRUE,135,194,606
52193,164031,FALSE,145,194,445
148086,363226,TRUE,122,194,552
80068,197840,TRUE,37,194,463
69620,428768,TRUE,127,195,593
56043,194838,TRUE,101,196,365
72407,380075,TRUE,102,196,1036
29424,108371,TRUE,40,202,537
54599,80306,FALSE,70,202,567
65667,112276,TRUE,51,203,414
51977,103408,TRUE,65,203,425
118667,152966,TRUE,122,203,582
67949,188875,TRUE,112,204,461
81465,166390,TRUE,136,204,369
37214,140052,TRUE,125,208,-1
60171,65358,FALSE,141,208,560
42221,75220,FALSE,147,208,540
9225,118670,TRUE,73,208,638
9041,133256,TRUE,102,209,-1
49591,167606,TRUE,112,209,-1
216602,392700,TRUE,94,209,617
15767,112200,FALSE,68,210,327
198034,307340,TRUE,44,210,578
