LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
664000,686241,FALSE,2,1164,-1
450323,1187978,TRUE,1,266,857
348025,510385,TRUE,9,323,1092
459330,442925,TRUE,5,568,-1
44810,32011,FALSE,836,323,-1
255580,383370,FALSE,923,225,581
351000,526000,TRUE,907,353,1049
136472,382146,FALSE,890,241,828
206113,401869,FALSE,871,584,841
163031,321556,TRUE,850,482,888
48691,128050,FALSE,832,225,420
357510,536010,FALSE,776,539,959
237029,510130,TRUE,803,275,716
108616,282278,FALSE,819,178,500
43804,156185,FALSE,569,101,359
257641,462724,FALSE,569,178,611
210235,137064,FALSE,569,385,1409
68425,149733,TRUE,565,150,528
332000,498000,FALSE,591,247,647
110789,188748,TRUE,605,135,559
106519,324701,FALSE,632,121,435
287640,431460,FALSE,647,121,435
153124,275601,TRUE,669,275,1056
67550,212335,TRUE,749,385,714
204000,423300,FALSE,725,385,778
109731,164293,TRUE,751,331,734
153193,263841,FALSE,775,316,759
168187,129851,FALSE,773,639,862
247335,373065,TRUE,771,269,822
167495,243504,FALSE,734,280,633
72400,104579,FALSE,775,401,-1
194467,122048,TRUE,753,654,890
72400,129521,TRUE,712,239,962
210235,448296,TRUE,707,266,702
73579,207886,TRUE,702,167,652
156188,291087,TRUE,659,217,602
68380,94925,TRUE,655,189,-1
72722,223950,FALSE,636,196,414
76554,44022,FALSE,637,239,1309
118870,166427,TRUE,657,136,616
145611,396668,FALSE,745,253,759
185918,309363,FALSE,764,177,500
141988,301737,TRUE,772,218,755
144680,131714,TRUE,785,195,479
206113,474061,FALSE,797,266,617
128313,306120,TRUE,813,324,881
282399,350803,TRUE,828,363,941
130017,147269,TRUE,832,234,584
108653,156944,TRUE,837,365,713
161717,384685,FALSE,845,280,682
68063,108452,FALSE,861,433,708
144463,237978,TRUE,875,136,435
196854,295284,FALSE,884,268,716
241245,365850,FALSE,927,385,913
97250,246320,TRUE,942,141,395
112839,152782,TRUE,965,238,602
121635,249390,FALSE,968,297,771
102614,247490,FALSE,978,437,881
123964,155879,FALSE,985,283,-1
206113,401920,FALSE,991,192,-1
105317,152452,TRUE,996,217,1158
110789,158064,TRUE,999,108,503
163647,334540,TRUE,999,188,416
69421,264531,FALSE,1002,196,1339
121347,199368,TRUE,980,323,850
68897,183748,FALSE,965,217,649
118704,202506,TRUE,967,113,479
102614,170119,TRUE,966,300,631
204000,341700,FALSE,956,388,1232
66224,143500,TRUE,951,213,619
204000,499800,TRUE,941,351,716
249896,397560,TRUE,935,477,1051
97250,232525,TRUE,906,178,388
312227,468283,FALSE,908,356,743
108616,314288,FALSE,893,167,652
136286,229933,FALSE,907,182,474
133478,223276,TRUE,911,183,474
206113,416801,FALSE,917,313,637
178699,360698,TRUE,924,539,847
234257,351386,TRUE,926,262,654
216408,324615,FALSE,927,139,622
95699,176092,TRUE,927,301,729
185659,235169,FALSE,895,204,555
175538,298987,TRUE,895,219,626
68327,195225,TRUE,892,330,787
164027,246047,TRUE,886,233,652
160766,542609,FALSE,868,167,659
108653,276462,TRUE,852,225,626
73579,212908,TRUE,852,232,722
74412,111326,TRUE,852,296,1136
242182,530741,TRUE,852,283,638
57411,58678,TRUE,821,399,1338
206113,515283,FALSE,812,219,617
121342,266960,TRUE,812,157,520
110789,211709,FALSE,822,157,520
123102,262868,FALSE,827,280,618
214439,368413,FALSE,868,251,661
180069,298897,FALSE,883,233,569
231258,478286,TRUE,904,203,596
73579,229177,FALSE,949,224,588
69421,93677,TRUE,964,251,1049
133478,206289,TRUE,980,316,803
71301,267995,FALSE,1002,196,1339
124965,158129,TRUE,702,306,696
65067,104315,FALSE,712,339,689
106519,205947,FALSE,716,306,654
103403,161019,FALSE,745,308,643
146707,407073,FALSE,754,295,701
96577,230588,TRUE,773,203,490
192996,84505,FALSE,770,338,-1
111945,116422,TRUE,760,90,751
239052,350392,TRUE,752,464,902
65067,104312,TRUE,748,204,435
121342,194152,TRUE,691,458,800
110946,117286,FALSE,700,280,618
108616,244488,TRUE,705,406,862
147369,306803,FALSE,719,184,392
173443,127500,FALSE,739,624,965
121342,98290,TRUE,715,490,-1
121630,243270,TRUE,712,273,587
173343,310548,TRUE,702,273,563
150000,46739,TRUE,955,283,1038
113161,242018,FALSE,955,251,661
121342,224490,TRUE,955,385,848
189637,284456,FALSE,955,160,387
222601,333903,FALSE,955,168,729
