LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
437457,314570,FALSE,6,366,1031
965823,1170144,TRUE,1,174,1067
806298,468789,TRUE,8,381,1128
583720,248357,TRUE,6,423,-1
578169,317911,TRUE,6,80,668
459000,712980,FALSE,6,244,597
1711590,1086825,FALSE,9,239,708
150118,184978,TRUE,8,288,-1
212857,91655,TRUE,8,695,-1
306000,739500,FALSE,8,300,1219
76192,537460,TRUE,8,386,1302
208520,370385,TRUE,8,555,701
213322,149167,TRUE,9,532,-1
52364,196224,TRUE,8,715,-1
346098,370470,TRUE,10,232,-1
664000,812909,FALSE,4,84,153
463755,216418,FALSE,3,286,-1
591076,81500,FALSE,6,799,-1
693091,889825,FALSE,7,351,854
545927,944567,TRUE,9,345,989
229690,90177,TRUE,1,259,-1
101909,669544,TRUE,14,290,1134
197187,395468,TRUE,8,451,1043
147702,400834,TRUE,8,98,-1
97975,305419,TRUE,8,388,1014
322025,662486,TRUE,9,531,1169
851458,781468,FALSE,9,370,856
254354,330231,FALSE,16,262,1069
694361,407848,FALSE,25,737,1343
315000,513094,TRUE,15,456,1030
750000,1150000,TRUE,33,318,-1
15231,70452,TRUE,39,272,-1
126897,193200,TRUE,37,370,1254
50171,111045,FALSE,27,209,925
68284,95625,TRUE,39,423,1014
486545,356545,TRUE,34,436,1228
121649,184339,TRUE,19,161,356
519480,874916,FALSE,36,28,-1
460000,569567,TRUE,26,493,1232
243492,182107,TRUE,30,413,1444
667498,943999,FALSE,25,484,994
243765,382434,TRUE,31,231,927
580068,1030874,TRUE,40,358,891
337624,218740,TRUE,29,339,-1
418768,383328,TRUE,54,304,1098
675568,875786,FALSE,56,345,946
362179,689057,TRUE,47,197,1022
688468,1023767,TRUE,48,105,850
606740,1334839,TRUE,43,107,959
438600,1193400,FALSE,32,367,1324
45955,52339,TRUE,30,1701,-1
371320,417901,TRUE,33,309,1035
602881,41222,FALSE,37,811,1466
427380,10200,FALSE,34,1491,-1
862589,462940,TRUE,34,469,1477
515920,428726,TRUE,1,805,-1
307670,153969,FALSE,8,223,1073
1100434,1576830,TRUE,18,303,1233
476104,239349,FALSE,8,218,548
334941,111301,TRUE,34,584,1081
242580,346545,FALSE,32,244,576
565762,621395,TRUE,31,476,1099
156409,256023,TRUE,32,394,1130
109927,305964,TRUE,29,302,682
295161,494836,TRUE,35,792,1305
453798,15300,FALSE,32,759,-1
26924,177334,TRUE,26,388,-1
124770,385027,FALSE,27,127,645
400235,277569,TRUE,22,191,401
720056,15767,FALSE,19,791,-1
1051178,78837,FALSE,18,716,-1
900000,50000,FALSE,20,1137,-1
166541,165958,TRUE,21,344,883
66150,253967,TRUE,18,287,679
537170,586449,TRUE,20,981,1479
179223,279033,TRUE,20,337,737
225692,439357,FALSE,17,352,1154
68863,342625,FALSE,17,119,1228
762000,763000,TRUE,23,421,863
1226118,1256671,TRUE,10,574,1206
288569,368609,TRUE,11,349,1044
364030,917561,FALSE,22,183,1623
625187,207400,FALSE,28,492,1233
138132,622246,TRUE,16,199,1225
64853,127355,TRUE,15,316,842
156766,451307,TRUE,30,357,-1
307081,300256,TRUE,28,345,701
161667,146004,FALSE,25,514,1036
183972,165571,TRUE,33,227,430
160151,80715,TRUE,32,653,1262
156766,285750,FALSE,34,188,1077
234600,10200,FALSE,33,1230,-1
301443,451395,TRUE,32,196,741
30179,105480,TRUE,37,434,-1
418158,371518,TRUE,23,399,1126
346888,156903,TRUE,23,548,1108
450710,585927,FALSE,23,423,786
548695,457220,FALSE,20,170,990
382825,610909,TRUE,20,353,827
702165,1081140,FALSE,19,160,1135
19004,129892,TRUE,29,339,890
150458,320179,TRUE,29,245,727
170216,323386,TRUE,29,336,-1
110373,394763,TRUE,29,545,1119
255284,416609,TRUE,28,133,633
285600,10200,FALSE,26,1681,-1
110373,303560,TRUE,26,336,1176
19384,94026,FALSE,26,478,1046
468918,846357,TRUE,26,342,1212
19384,158943,TRUE,26,79,941
147250,326886,TRUE,42,227,-1
398999,661094,TRUE,46,738,1315
112826,287213,TRUE,43,380,773
54415,158999,TRUE,46,525,930
315000,394562,FALSE,45,373,-1
260036,406294,TRUE,47,321,871
409445,421152,TRUE,43,513,1169
313000,463047,TRUE,38,223,-1
85041,241625,TRUE,45,381,1021
155791,164957,FALSE,36,580,-1
391614,257641,FALSE,41,280,1184
112826,364156,TRUE,42,296,1192
163983,245975,TRUE,49,1175,-1
349000,1050000,FALSE,46,1133,1473
224146,309307,TRUE,42,296,1606
289665,398581,TRUE,49,381,847
546823,458322,FALSE,43,568,973
24243,99702,TRUE,50,540,-1
53352,220601,TRUE,34,232,770
306000,10200,FALSE,47,1183,1730
29092,30396,TRUE,49,407,-1
270300,10200,TRUE,51,1422,-1
305000,412718,TRUE,50,332,1043
1148327,1527794,FALSE,25,379,682
75313,227307,TRUE,39,471,1133
1748425,232551,TRUE,40,307,891
309570,10200,FALSE,54,1287,1779
108377,99448,TRUE,54,583,-1
316254,754150,TRUE,54,188,687
348465,927510,TRUE,50,522,892
300000,402249,TRUE,52,213,-1
412226,736855,FALSE,58,190,631
385000,171024,TRUE,57,184,953
329781,20611,FALSE,54,1470,-1
295898,390587,FALSE,56,323,765
260434,53153,TRUE,52,548,-1
29092,156721,TRUE,56,395,878
340680,10200,FALSE,57,1326,-1
396381,368072,FALSE,55,260,869
331406,246128,TRUE,55,293,1119
187650,75375,TRUE,38,680,-1
191398,646678,FALSE,34,245,962
682414,824453,TRUE,36,363,994
820234,350840,FALSE,29,227,854
580068,973159,FALSE,19,203,820
