pre_application_distribution,planning_level,public_works_level,fire_level,special_zoning_level,agency_referral_level,n_runs_proxy,seed,completed_permits,mean_total_days,mean_application_to_ready_days,planning_to_ready_n,debris_blocking_wait_count,debris_blocking_wait_share,debris_blocking_wait_mean_days,debris_blocking_wait_median_days,debris_blocking_wait_max_days,median_total_days,std_total_days,min_total_days,max_total_days,mean_wait_days,mean_service_days,county_review_mean,applicant_mean,debris_mean,step_wait_mean__epa_debris,step_service_mean__epa_debris,step_wait_mean__usace_debris,step_service_mean__usace_debris,step_wait_mean__pre_application_activities,step_service_mean__pre_application_activities,step_wait_mean__applicant_revisions,step_service_mean__applicant_revisions,step_wait_mean__planning,step_service_mean__planning,step_wait_mean__agency_referral,step_service_mean__agency_referral,step_wait_mean__special_zoning,step_service_mean__special_zoning,step_wait_mean__public_works,step_service_mean__public_works,step_wait_mean__fire_review,step_service_mean__fire_review
poisson_10,0.5,0.5,0.5,0.5,0.5,4.5,46.5,1200.0,93.36619730745593,83.36478064078926,1200.0,20.3,0.016916666666666667,7.340947226042454,5.4335892616345856,24.284132058048748,89.55064892818771,30.136042162508012,18.142003094144705,271.9384548037116,16.693426690685566,96.39518562376307,24.68331543099161,73.53552495854966,14.869771924907372,3.1902648408873957,1.0080934099477532,8.174413674072222,2.497,0.0,10.001416666666668,0.0,63.534108291882966,5.328748175725947,3.395805025888138,0.0,3.876987216613857,0.0,5.566084009469129,0.0,4.167193795819484,0.0,2.3484972074750563
poisson_10,0.5,0.5,1.0,0.5,0.5,4.5,46.5,1200.0,95.23748042857639,85.23606376190973,1200.0,17.3,0.014416666666666666,7.3620508969589835,5.768608746581727,21.837249727261685,91.24983696750792,30.323512954254703,20.763729283668763,275.1490580192023,16.71470767258871,98.77209866286748,27.084473890544597,73.52933145262698,14.873000992284602,3.171073626057369,1.0019711798636806,8.199539519696886,2.5004166666666667,0.0,10.001416666666668,0.0,63.527914785960334,5.314520474783622,3.3981545213790048,0.0,3.790433069592769,0.0,5.67311288112597,0.0,4.161767901694291,0.0295740520508354,4.716910989918103
poisson_10,0.5,0.5,0.5,0.5,1.0,4.5,46.5,1200.0,95.5992786400574,85.59786197339074,1200.0,20.2,0.016833333333333332,7.390060163709025,5.470343238807833,24.284132058048748,90.17637985419626,33.85308340445497,18.142003094144705,329.4694141407576,16.693426690685566,100.27217284037692,28.560302647605464,73.53552495854966,14.869771924907372,3.1902648408873953,1.0080934099477532,8.174413674072222,2.497,0.0,10.001416666666668,0.0,63.534108291882966,5.328748175725947,3.395805025888137,0.0,7.753974433227714,0.0,5.566084009469128,0.0,4.167193795819483,0.0,2.3484972074750563
poisson_10,0.5,1.0,0.5,0.5,0.5,4.5,46.5,1200.0,97.02363618608457,87.02221951941792,1200.0,10.6,0.008833333333333334,7.678994351635798,5.563949143978647,23.18806865621253,93.23769142874369,30.50632479359397,20.50110281921647,293.00495892206027,16.668853098806984,100.31096526087177,28.721324646370373,73.40779268510435,14.850701028204018,3.1800243456341097,1.0070831198364167,8.167426896066818,2.4961666666666664,0.0,10.001416666666668,0.0,63.4063760184377,5.321401857106051,3.402552963384477,0.0,3.6853610825131056,0.0,5.660221726744366,0.0,8.330616062040072,0.0,2.3211709545823025
poisson_10,0.5,0.5,1.5,0.5,0.5,4.5,46.5,1200.0,97.1814298754938,87.18001320882713,1200.0,14.0,0.011666666666666667,8.534780741579679,7.360703432945471,22.546182728557334,93.27617358219376,31.112366234706542,18.656408806777275,312.79941190863235,20.748873953355492,101.51902931631125,33.5914878377602,73.82992858853319,14.846486843373356,3.1627325960955313,1.0026060477305792,8.186481532880581,2.4946666666666664,0.0,10.001416666666668,0.0,63.828511921866514,5.334448588196769,3.4048189094605426,0.0,3.76441277356293,0.0,5.8632762996492165,0.0,4.1625707986649925,4.065211236182611,6.996749232043136
poisson_10,0.5,0.5,1.0,0.5,1.0,4.5,46.5,1200.0,97.26263301488892,87.26121634822225,1200.0,17.3,0.014416666666666666,7.3620508969589835,5.768608746581727,21.837249727261685,91.82342362922604,33.580555496180146,20.763729283668763,321.06277082154685,16.71470767258871,102.56253173246023,30.874906960137366,73.52933145262698,14.873000992284602,3.1710736260573684,1.0019711798636806,8.199539519696884,2.5004166666666667,0.0,10.001416666666668,0.0,63.52791478596034,5.314520474783623,3.3981545213790048,0.0,7.580866139185536,0.0,5.673112881125972,0.0,4.161767901694291,0.0295740520508354,4.716910989918103
poisson_10,0.5,1.0,1.0,0.5,0.5,4.5,46.5,1200.0,97.9668778670979,87.96546120043124,1200.0,12.1,0.010083333333333333,6.193020589637744,5.693631759910384,16.010356752435253,94.10384238300594,30.180640751517522,22.93609870347313,264.6347158796822,16.724531301151252,102.6318402718105,31.182490457519794,73.30033008792044,14.87355102752152,3.1823210495277823,1.010112249751814,8.183117728241923,2.498,0.0,10.001416666666668,0.0,63.29891342125378,5.326796109729729,3.400221519308959,0.0,3.771528559130206,0.0,5.604144798024995,0.0,8.330864200694716,0.03229641365181546,4.716638856979367
poisson_10,0.5,0.5,0.5,0.5,1.5,4.5,46.5,1200.0,98.63884347755598,88.63742681088931,1200.0,20.2,0.016833333333333332,7.390060163709025,5.470343238807833,24.284132058048748,90.86340102251117,40.21343059354207,18.142003094144705,439.4621576827061,16.693426690685566,104.14916005699078,32.43728986421932,73.53552495854966,14.869771924907372,3.1902648408873957,1.0080934099477532,8.174413674072222,2.497,0.0,10.001416666666668,0.0,63.534108291882966,5.328748175725947,3.395805025888137,0.0,11.63096164984157,0.0,5.566084009469128,0.0,4.167193795819483,0.0,2.348497207475055
poisson_10,0.5,1.0,0.5,0.5,1.0,4.5,46.5,1200.0,99.02070593976991,89.01928927310325,1200.0,10.5,0.008749999999999999,7.592884561014378,5.3531219603168685,23.18806865621253,93.8388818882861,33.783342889570044,20.50110281921647,341.9169960032543,16.668853098806984,103.99632634338487,32.40668572888348,73.40779268510435,14.850701028204018,3.1800243456341097,1.007083119836417,8.167426896066821,2.4961666666666664,0.0,10.001416666666668,0.0,63.4063760184377,5.321401857106051,3.402552963384477,0.0,7.370722165026211,0.0,5.660221726744366,0.0,8.330616062040075,0.0,2.321170954582303
poisson_10,0.5,0.5,1.5,0.5,1.0,4.5,46.5,1200.0,99.076810405316,89.07539373864934,1200.0,13.9,0.011583333333333334,8.568649291550216,7.462887795579296,22.546182728557334,93.90031433473357,34.333362691317156,18.656408806777275,354.31126338519226,20.748873953355492,105.28344208987419,37.35590061132313,73.82992858853319,14.846486843373356,3.162732596095531,1.0026060477305792,8.186481532880581,2.4946666666666664,0.0,10.001416666666668,0.0,63.828511921866514,5.334448588196768,3.404818909460542,0.0,7.52882554712586,0.0,5.863276299649216,0.0,4.162570798664993,4.065211236182611,6.996749232043134
poisson_10,0.5,0.5,0.5,1.0,0.5,4.5,46.5,1200.0,99.32213171941859,89.32071505275194,1200.0,19.6,0.01633333333333333,8.189975305761811,6.480981864719541,25.74167524924399,91.15355389347079,40.880518967117766,17.843013342371684,448.5738473229879,16.68192828501772,102.28752210215369,30.464765003668624,73.641023314477,14.863662069025773,3.17939356700825,1.0075473498689025,8.176304485481955,2.5004166666666667,0.0,10.001416666666668,0.0,63.63960664781034,5.326230232527514,3.395720618145181,0.0,3.7772810272847317,0.0,11.48028384264669,0.0,4.16464000663967,0.0,2.320609276424837
poisson_10,0.5,1.0,1.0,0.5,1.0,4.5,46.5,1200.0,99.95353744387957,89.95212077721291,1200.0,12.1,0.010083333333333333,6.193020589637744,5.693631759910384,16.010356752435253,94.65910383228896,33.38753963946157,22.93609870347313,309.79703377340377,16.724531301151252,106.4033688309407,34.95401901665,73.30033008792044,14.87355102752152,3.1823210495277827,1.0101122497518142,8.183117728241921,2.498,0.0,10.001416666666668,0.0,63.29891342125378,5.326796109729729,3.4002215193089596,0.0,7.543057118260416,0.0,5.604144798024995,0.0,8.330864200694714,0.032296413651815466,4.716638856979366
poisson_10,0.5,0.5,1.0,0.5,1.5,4.5,46.5,1200.0,100.13446095679988,90.13304429013321,1200.0,17.2,0.014333333333333333,7.370614097301937,5.761644947204902,21.837249727261685,92.37989341537538,39.456865241694615,20.763729283668763,405.7824575963929,16.71470767258871,106.35296480205302,34.66534002973013,73.52933145262698,14.873000992284602,3.1710736260573684,1.0019711798636808,8.199539519696884,2.5004166666666667,0.0,10.001416666666668,0.0,63.52791478596034,5.314520474783622,3.3981545213790048,0.0,11.371299208778307,0.0,5.673112881125972,0.0,4.161767901694292,0.029574052050835388,4.716910989918103
